verbo|traducao_italiano|esempio|nivel
der Abend, -e|la sera|Am Abend lese ich ein Buch.|A1
das Alphabet, -e|l'alfabeto|Das deutsche Alphabet hat 26 Buchstaben.|A1
die Ampel, -n|il semaforo|Die Ampel ist rot.|A1
die Antwort, -en|la risposta|Ich warte auf deine Antwort.|A1
die Apotheke, -n|la farmacia|Ich muss zur Apotheke gehen.|A1
der Apfel, Äpfel|la mela|Ich esse gern einen Apfel.|A1
der April|aprile|Im April regnet es oft.|A1
der Appetit|l'appetito|Guten Appetit!|A1
der Arzt, Ärzte / die Ärztin, -nen|il medico / la dottoressa|Ich gehe zum Arzt.|A1
das Audio, -s|l'audio|Hören Sie das Audio noch einmal.|A1
die Aufgabe, -n|il compito, l'esercizio|Die Aufgabe ist schwer.|A1
das Auto, -s|l'automobile, la macchina|Ich fahre mit dem Auto zur Arbeit.|A1
der Ausflug, Ausflüge|la gita, l'escursione|Wir machen einen Ausflug am Wochenende.|A1
der Ausweis, -e|la carta d'identità, il documento|Haben Sie Ihren Ausweis dabei?|A1
das Baby, -s|il bambino, il bebè|Das Baby schläft.|A1
die Banane, -n|la banana|Ich esse eine Banane zum Frühstück.|A1
die Bank, -en|la banca|Ich muss zur Bank gehen.|A1
der Bahnhof, Bahnhöfe|la stazione (ferroviaria)|Der Bahnhof ist groß.|A1
das Ballett, -e|il balletto|Ich gehe ins Ballett.|A1
der Baum, Bäume|l'albero|Der Baum ist sehr alt.|A1
der Berg, -e|la montagna|Die Alpen sind hohe Berge.|A1
der Beruf, -e|la professione, il mestiere|Was ist Ihr Beruf?|A1
der Besuch, -e|la visita|Wir bekommen Besuch am Wochenende.|A2
das Bett, -en|il letto|Ich gehe ins Bett.|A1
das Bier, -e|la birra|Ich trinke gern ein Glas Bier.|A1
das Bild, -er|l'immagine, il quadro|Das Bild hängt an der Wand.|A2
der Bleistift, -e|la matita|Ich brauche einen Bleistift.|A1
die Blume, -n|il fiore|Die Blumen sind schön.|A2
das Brot, -e|il pane|Ich esse Brot zum Frühstück.|A1
das Brötchen, -|il panino|Möchtest du ein Brötchen?|A1
