verbo|traducao_tedesco|esempio|nivel
arrivare|ankommen|Wann kommt der Zug an?|A1
rispondere|antworten|Bitte antworten Sie schnell.|A1
lavorare|arbeiten|Ich arbeite von Montag bis Freitag.|A1
aprire|aufmachen|Kannst du bitte das Fenster aufmachen?|A1
alzarsi|aufstehen|Ich stehe jeden Morgen um 7 Uhr auf.|A1
compilare|ausfüllen|Bitte füllen Sie das Formular aus.|A1
sembrare, avere l'aspetto di|aussehen|Sie sieht müde aus.|A1
pronunciare|aussprechen|Wie spricht man dieses Wort aus?|A1
scendere (da un veicolo)|aussteigen|Wir müssen hier aussteigen.|A1
pagare|bezahlen|Ich möchte jetzt bezahlen.|A1
avere bisogno di|brauchen|Ich brauche Hilfe.|A1
portare|bringen|Kannst du mir einen Kaffee bringen?|A1
sillabare|buchstabieren|Können Sie das bitte buchstabieren?|A1
fare la doccia|duschen|Ich dusche jeden Morgen.|A1
fare la spesa|einkaufen|Ich gehe heute einkaufen.|A1
invitare|einladen|Ich lade dich zum Abendessen ein.|A1
addormentarsi|einschlafen|Ich bin spät eingeschlafen.|A1
salire (su un veicolo)|einsteigen|Bitte einsteigen!|A1
mangiare|essen|Was möchten Sie essen?|A1
guidare, andare (con veicolo)|fahren|Ich fahre mit dem Auto zur Arbeit.|A1
guardare la TV|fernsehen|Am Abend sehe ich gern fern.|A1
trovare|finden|Ich finde den Schlüssel nicht.|A1
volare|fliegen|Wir fliegen nach Spanien.|A1
fotografare|fotografieren|Er fotografiert gern Landschaften.|A1
chiedere|fragen|Ich möchte dich etwas fragen.|A1
fare colazione|frühstücken|Ich frühstücke um 8 Uhr.|A1
dare|geben|Kannst du mir bitte das Buch geben?|A1
andare|gehen|Wir gehen ins Kino.|A1
avere|haben|Ich habe ein neues Auto.|A1
tenere, fermare, mantenere|halten|Halten Sie hier bitte an.|A1
chiamarsi|heißen|Wie heißen Sie?|A1
riscaldare|heizen|Im Winter müssen wir die Wohnung heizen.|A1
prendere, andare a prendere|holen|Ich muss die Kinder aus der Schule holen.|A1
sentire, ascoltare|hören|Hörst du die Musik?|A1
comprare|kaufen|Was möchtest du kaufen?|A1
cucinare|kochen|Ich koche heute Abend Suppe.|A1
venire|kommen|Woher kommen Sie?|A1
potere, sapere (fare qualcosa)|können|Kannst du mir helfen?|A1
costare|kosten|Wie viel kostet das?|A1
malato (usato con sein)|krank|Ich bin krank.|A1
baciare|küssen|Er küsst seine Freundin.|A1
ridere|lachen|Sie lachen über den Witz.|A1
correre, camminare|laufen|Die Kinder laufen im Garten.|A1
vivere|leben|Ich lebe in Deutschland.|A1
mettere (sdraiato)|legen|Lege das Buch auf den Tisch.|A1
leggere|lesen|Ich lese gern Bücher.|A1
amare|lieben|Ich liebe dich.|A1
essere (sdraiato)|liegen|Das Buch liegt auf dem Tisch.|A1
risolvere|lösen|Kannst du die Aufgabe lösen?|A1
fare|machen|Was machst du heute Abend?|A1
segnare|markieren|Bitte markieren Sie die richtige Antwort.|A1
dovere|müssen|Ich muss jetzt gehen.|A1
prendere|nehmen|Nehmen Sie Platz.|A1
annotare|notieren|Bitte notieren Sie die Adresse.|A1
organizzare|organisieren|Wir müssen eine Party organisieren.|A1
fare le valigie, imballare|packen|Ich muss meine Koffer packen.|A1
parcheggiare|parken|Hier dürfen Sie nicht parken.|A1
andare bene, stare (vestiti)|passen|Die Hose passt mir nicht mehr.|A1
pianificare|planen|Wir planen unseren Urlaub.|A1
provare, assaggiare|probieren|Möchtest du den Kuchen probieren?|A1
pulire, spazzolare|putzen|Ich putze meine Zähne jeden Morgen.|A1
cancellare (con la gomma)|radieren|Ich habe einen Fehler gemacht und muss radieren.|A1
fumare|rauchen|Rauchen ist hier verboten.|A1
radere|rasieren|Er rasiert sich jeden Morgen.|A1
piovere|regnen|Es regnet heute den ganzen Tag.|A1
riparare|reparieren|Kannst du mein Fahrrad reparieren?|A1
prenotare|reservieren|Ich möchte einen Tisch reservieren.|A1
mescolare|rühren|Bitte rühren Sie den Zucker in den Kaffee.|A1
chiamare, gridare|rufen|Ich rufe dich später an.|A1
dire|sagen|Was hast du gesagt?|A1
collezionare, raccogliere|sammeln|Ich sammle Briefmarken.|A1
guardare|schauen|Schau mal! Ein Vogel!|A1
regalare|schenken|Ich schenke dir ein Buch.|A1
sparare|schießen|Er schießt auf das Tor.|A1
dormire|schlafen|Ich schlafe sieben Stunden pro Nacht.|A1
chiudere|schließen|Bitte schließen Sie die Tür.|A1
avere sapore, assaggiare|schmecken|Der Kuchen schmeckt gut.|A1
tagliare|schneiden|Kannst du das Brot schneiden?|A1
nevicare|schneien|Es schneit im Winter oft.|A1
scrivere|schreiben|Ich schreibe einen Brief.|A1
nuotare|schwimmen|Ich schwimme gern im See.|A1
vedere|sehen|Ich sehe dich.|A1
essere|sein|Ich bin müde.|A1
inviare, trasmettere|senden|Wir senden Ihnen eine E-Mail.|A1
sedere, essere seduto|sitzen|Er sitzt auf dem Stuhl.|A1
cantare|singen|Sie singt sehr schön.|A1
passeggiare|spazieren|Wir gehen gern spazieren.|A1
giocare, suonare|spielen|Die Kinder spielen im Garten.|A1
lavare (i piatti)|spülen|Ich muss noch das Geschirr spülen.|A1
iniziare, partire|starten|Der Flug startet um 10 Uhr.|A1
stare (in piedi)|stehen|Die Tasse steht auf dem Tisch.|A1
fermare|stoppen|Bitte stoppen Sie das Auto hier.|A1
studiare (all'università)|studieren|Sie studiert Medizin an der Universität.|A1
ballare|tanzen|Möchtest du tanzen gehen?|A1
telefonare|telefonieren|Ich muss telefonieren.|A1
portare, indossare|tragen|Sie trägt einen roten Pullover.|A1
praticare (sport)|treiben|Er treibt viel Sport.|A1
bere|trinken|Was möchten Sie trinken?|A1
capire|verstehen|Ich verstehe das nicht.|A1
presentare, immaginare|vorstellen|Darf ich mich vorstellen?|A1
decollare, partire (aereo)|abfliegen|Das Flugzeug ist pünktlich abgeflogen.|A2
cancellare l'iscrizione, disconnettersi|abmelden|Ich muss mich vom Kurs abmelden.|A2
asciugare (con asciugamano)|abtrocknen|Bitte trockne das Geschirr ab.|A2
vestire|anziehen|Zieh dir eine Jacke an, es ist kalt.|A2
accendere|anzünden|Kannst du bitte die Kerze anzünden?|A2
svegliarsi|aufwachen|Ich bin um 6 Uhr aufgewacht.|A2
fare il bagno, bagnarsi|baden|Ich bade gerne im Meer.|A2
cuocere al forno|backen|Sie backt einen Kuchen für die Party.|A2
fare lavoretti manuali|basteln|Die Kinder basteln ein Geschenk.|A2
rispondere a|beantworten|Bitte beantworten Sie die Frage.|A2
sbrigarsi|beeilen (sich)|Wir müssen uns beeilen!|A2
ricevere, ottenere|bekommen|Ich habe einen Brief bekommen.|A2
usare, utilizzare|benutzen|Darf ich dein Handy benutzen?|A2
riferire|berichten|Er berichtet über die Neuigkeiten.|A2
chiedere, pregare|bitten|Ich bitte dich um Hilfe.|A2
restare, rimanere|bleiben|Bleibst du heute zu Hause?|A2
friggere, arrostire|braten|Ich brate Hähnchen in der Pfanne.|A2
stirare|bügeln|Ich muss noch meine Hemden bügeln.|A2
ringraziare|danken|Ich danke dir für deine Hilfe.|A2
inserire|einfügen|Fügen Sie den Text hier ein.|A2
depositare (denaro)|einzahlen|Ich möchte Geld auf mein Konto einzahlen.|A2
ricordarsi|erinnern (sich)|Ich kann mich nicht daran erinnern.|A2
riposarsi, riprendersi|erholen (sich)|Ich muss mich von der Arbeit erholen.|A2
spiegare|erklären|Können Sie das bitte erklären?|A2
aspettare|erwarten|Ich erwarte einen Anruf.|A2
sbagliato (usato con sein)|falsch|Das ist falsch.|A2
inviare via fax|faxen|Ich muss das Dokument faxen.|A2
festeggiare|feiern|Wir feiern heute meinen Geburtstag.|A2
sentirsi|fühlen (sich)|Wie fühlen Sie sich heute?|A2
piacere|gefallen|Die neue Wohnung gefällt mir sehr gut.|A2
appartenere|gehören|Wem gehört dieses Buch?|A2
grigliare|grillen|Wir grillen heute Abend im Garten.|A2
appendere, essere appeso|hängen|Das Bild hängt an der Wand.|A2
sposarsi|heiraten|Sie heiraten nächsten Sommer.|A2
aiutare|helfen|Kann ich Ihnen helfen?|A2
tossire|husten|Er hustet die ganze Nacht.|A2
interessarsi a|interessieren (sich)|Ich interessiere mich für Sprachen.|A2
fare jogging|joggen|Ich jogge jeden Morgen im Park.|A2
pettinare|kämmen|Sie kämmt sich die Haare.|A2
conoscere|kennen|Ich kenne diesen Mann nicht.|A2
conoscere (per la prima volta)|kennenlernen|Ich möchte neue Leute kennenlernen.|A2
cliccare|klicken|Klicken Sie hier, um das Dokument zu öffnen.|A2
suonare (campanello, telefono)|klingeln|Es klingelt an der Tür.|A2
bussare|klopfen|Jemand klopft an die Tür.|A2
copiare|kopieren|Kannst du dieses Dokument kopieren?|A2
correggere|korrigieren|Der Lehrer korrigiert die Fehler.|A2
gratuito (usato come aggettivo)|kostenlos|Das Parken ist kostenlos.|A2
ottenere, prendere (colloquiale)|kriegen|Wo kriege ich Fahrkarten?|A2
fresco, freddo (usato con sein)|kühl|Es ist heute kühl.|A2
lasciare, permettere|lassen|Lass mich in Ruhe!|A2
prestare, prendere in prestito|leihen|Kannst du mir dein Buch leihen?|A2
cancellare, spegnere|löschen|Löschen Sie die Datei.|A2
inviare per e-mail|mailen (e-mailen)|Ich maile dir die Informationen.|A2
pensare, voler dire|meinen|Was meinst du dazu?|A2
notare, ricordare|merken|Merk dir das Datum.|A2
affittare|mieten|Wir wollen eine Wohnung mieten.|A2
mescolare, mischiare|mischen|Mischen Sie die Zutaten gut.|A2
portare (con sé)|mitbringen|Bringst du etwas zu essen mit?|A2
piacere (cose/persone)|mögen|Ich mag Schokolade.|A2
operare|operieren|Der Arzt muss ihn operieren.|A2
ordinare, sistemare|ordnen|Bitte ordne die Bücher im Regal.|A2
succedere|passieren|Was ist passiert?|A2
reagire|reagieren|Wie hat er reagiert?|A2
correre|rennen|Die Kinder rennen auf dem Spielplatz.|A2
aspirare (polvere)|saugen|Ich muss heute noch staubsaugen.|A2
sedersi|setzen (sich)|Setz dich bitte auf den Stuhl.|A2
salvare, memorizzare|speichern|Vergiss nicht, die Datei zu speichern.|A2
saltare|springen|Die Kinder springen auf dem Trampolin.|A2
infilare, mettere|stecken|Steck den Schlüssel in die Tasche.|A2
mettere (in piedi)|stellen|Stell die Flasche auf den Tisch.|A2
stressare|stressen|Die Arbeit stresst mich sehr.|A2
cercare|suchen (nach D)|Ich suche nach meinem Handy.|A2
partecipare a|teilnehmen an D|Möchten Sie am Kurs teilnehmen?|A2
testare|testen|Wir müssen das neue Programm testen.|A2
separarsi|trennen (sich)|Sie haben sich getrennt.|A2
asciugare|trocknen|Die Wäsche trocknet schnell in der Sonne.|A2
sognare di|träumen von D|Ich träume von einem Urlaub.|A2
incontrare|treffen|Wir treffen uns um 8 Uhr.|A2
calpestare, calciare|treten|Er tritt die Tür auf.|A2
cambiare (denaro, merce)|umtauschen|Ich möchte Euro in Dollar umtauschen.|A2
traslocare, cambiarsi (vestiti)|umziehen|Wir sind letztes Jahr umgezogen.|A2
dimenticare|vergessen|Ich habe meinen Schlüssel vergessen.|A2
essere sposato (con sein)|verheiraten|Sie ist verheiratet.|A2
cambiare, modificare|verändern|Das Leben verändert sich schnell.|A2
vendere|verkaufen|Ich möchte mein altes Auto verkaufen.|A2
essere innamorato di|verliebt sein in A|Er ist in sie verliebt.|A2
fidanzarsi|verloben (sich)|Sie haben sich verlobt.|A2
perdere|verlieren|Ich habe meinen Schlüssel verloren.|A2
perdere (opportunità, trasporto)|verpassen|Ich habe den Bus verpasst.|A2
promettere|versprechen|Ich verspreche es dir.|A2
tentare, provare|versuchen|Ich werde es versuchen.|A2
sostenere (esame)|ablegen|Er muss eine Prüfung ablegen.|B1
rifiutare, respingere|ablehnen|Sie hat mein Angebot abgelehnt.|B1
