verbo|traducao_tedesco|esempio|nivel
la sera|der Abend, -e|Am Abend lese ich ein Buch.|A1
l'alfabeto|das Alphabet, -e|Das deutsche Alphabet hat 26 Buchstaben.|A1
il semaforo|die Ampel, -n|Die Ampel ist rot.|A1
la risposta|die Antwort, -en|Ich warte auf deine Antwort.|A1
la farmacia|die Apotheke, -n|Ich muss zur Apotheke gehen.|A1
la mela|der Apfel, Äpfel|Ich esse gern einen Apfel.|A1
aprile|der April|Im April regnet es oft.|A1
l'appetito|der Appetit|Guten Appetit!|A1
il medico / la dottoressa|der Arzt, Ärzte / die Ärztin, -nen|Ich gehe zum Arzt.|A1
l'audio|das Audio, -s|Hören Sie das Audio noch einmal.|A1
il compito, l'esercizio|die Aufgabe, -n|Die Aufgabe ist schwer.|A1
l'automobile, la macchina|das Auto, -s|Ich fahre mit dem Auto zur Arbeit.|A1
la gita, l'escursione|der Ausflug, Ausflüge|Wir machen einen Ausflug am Wochenende.|A1
la carta d'identità, il documento|der Ausweis, -e|Haben Sie Ihren Ausweis dabei?|A1
il bambino, il bebè|das Baby, -s|Das Baby schläft.|A1
la banana|die Banane, -n|Ich esse eine Banane zum Frühstück.|A1
la banca|die Bank, -en|Ich muss zur Bank gehen.|A1
la stazione (ferroviaria)|der Bahnhof, Bahnhöfe|Der Bahnhof ist groß.|A1
il balletto|das Ballett, -e|Ich gehe ins Ballett.|A1
l'albero|der Baum, Bäume|Der Baum ist sehr alt.|A1
la montagna|der Berg, -e|Die Alpen sind hohe Berge.|A1
la professione, il mestiere|der Beruf, -e|Was ist Ihr Beruf?|A1
la visita|der Besuch, -e|Wir bekommen Besuch am Wochenende.|A2
il letto|das Bett, -en|Ich gehe ins Bett.|A1
la birra|das Bier, -e|Ich trinke gern ein Glas Bier.|A1
l'immagine, il quadro|das Bild, -er|Das Bild hängt an der Wand.|A2
la matita|der Bleistift, -e|Ich brauche einen Bleistift.|A1
il fiore|die Blume, -n|Die Blumen sind schön.|A2
il pane|das Brot, -e|Ich esse Brot zum Frühstück.|A1
il panino|das Brötchen, -|Möchtest du ein Brötchen?|A1
il fratello|der Bruder, Brüder|Mein Bruder ist älter als ich.|A1
il libro|das Buch, Bücher|Ich lese gern Bücher.|A1
l'ufficio|das Büro, -s|Mein Büro ist im Zentrum.|A1
l'autobus|der Bus, -se|Ich fahre mit dem Bus zur Arbeit.|A1
il burro|die Butter (kein Pl.)|Ich esse Brot mit Butter.|A1
il capo / la capa|der Chef, -s / die Chefin, -nen|Mein Chef ist sehr nett.|A2
il computer|der Computer, -|Ich arbeite am Computer.|A1
il cugino / la cugina|der Cousin, -s / die Cousine, -n|Meine Cousine wohnt in Köln.|A1
il tetto|das Dach, Dächer|Das Haus hat ein rotes Dach.|A2
la data|das Datum, die Daten|Welches Datum haben wir heute?|A2
la discoteca|die Disco, -s|Wir gehen am Samstag in die Disco.|A1
la discussione|die Diskussion, -en|Die Diskussion war sehr interessant.|A1
il dottore|der Doktor, -en|Der Doktor kommt gleich.|A2
il documento|das Dokument, -e|Bitte senden Sie mir das Dokument.|A2
la lattina|die Dose, -n|Ich kaufe eine Dose Cola.|A2
la stampante|der Drucker, -|Der Drucker ist kaputt.|A2
la doccia|die Dusche, -n|Ich nehme eine Dusche.|A1
l'e-mail|die E-Mail, -s|Ich schreibe eine E-Mail.|A1
il ghiaccio, il gelato|das Eis (kein Pl.)|Ich esse gern Eis.|A2
l'elettricista|der Elektriker, - / die Elektrikerin, -nen|Der Elektriker repariert die Lampe.|A1
i genitori|die Eltern (nur Pl.)|Meine Eltern leben in Deutschland.|A1
l'invito|die Einladung, -en|Danke für die Einladung!|A1
l'acquisto, la spesa|der Einkauf, Einkäufe|Ich gehe einkaufen.|A2
l'ingresso, l'entrata|der Eingang, Eingänge|Der Eingang ist links.|A2
il deposito, il versamento|die Einzahlung, -en|Ich mache eine Einzahlung auf mein Konto.|A2
la camera singola|das Einzelzimmer, -|Ich brauche ein Einzelzimmer.|A2
il nipote (di nonni)|der Enkel, -|Mein Enkel ist süß.|A1
l'energia|die Energie, -n|Wir brauchen mehr Energie.|A2
il piano terra|das Erdgeschoss, -e|Meine Wohnung ist im Erdgeschoss.|A2
il raffreddore|die Erkältung, -en|Ich habe eine Erkältung.|A2
il successo|der Erfolg, -e|Ich wünsche dir viel Erfolg!|A2
la fabbrica|die Fabrik, -en|Die Fabrik produziert Autos.|A2
la materia, la disciplina|das Fach, Fächer|Welches Fach studierst du?|A2
l'autista, il guidatore|der Fahrer, - / die Fahrerin, -nen|Der Fahrer ist sehr freundlich.|A1
la bicicletta|das Fahrrad, Fahrräder|Ich fahre gern Fahrrad.|A1
il biglietto (di trasporto)|die Fahrkarte, -n|Ich kaufe eine Fahrkarte nach Berlin.|A2
l'orario (dei trasporti)|der Fahrplan, Fahrpläne|Schau mal im Fahrplan nach!|A2
la famiglia|die Familie, -n|Meine Familie ist klein.|A1
il colore|die Farbe, -n|Welche Farbe magst du?|A2
il fax|das Fax, -e|Ich habe ein Fax bekommen.|A2
l'apparecchio fax|das Faxgerät, -e|Das Faxgerät ist kaputt.|A2
la festa, la celebrazione|die Feier, -n|Die Feier war sehr schön.|A2
il giorno festivo|der Feiertag, -e|Morgen ist ein Feiertag.|A2
la finestra|das Fenster, -|Bitte schließ das Fenster.|A1
le vacanze|die Ferien (Pl.)|Ich fahre in den Ferien weg.|A2
il televisore|der Fernseher, -|Der Fernseher ist neu.|A1
la televisione (programma)|das Fernsehen (kein Pl.)|Ich schaue gern Fernsehen.|A1
il festival|das Festival, -s|Das Festival findet im Sommer statt.|A2
la febbre|das Fieber (kein Pl.)|Ich habe Fieber.|A2
il film|der Film, -e|Ich möchte einen Film sehen.|A1
il dito|der Finger, -|Ich habe mir den Finger verletzt.|A2
l'azienda, la ditta|die Firma, Firmen|Ich arbeite für eine große Firma.|A2
il fitness, la forma fisica|die Fitness (kein Pl.)|Sport ist gut für die Fitness.|A2
la bottiglia|die Flasche, -n|Bitte gib mir die Flasche Wasser.|A1
la carne|das Fleisch (kein Pl.)|Ich esse gern Fleisch.|A1
l'aereo (colloquiale)|der Flieger, -|Der Flieger landet gleich.|A2
il volo|der Flug, Flüge|Mein Flug geht nach Berlin.|A1
l'aeroporto|der Flughafen, Flughäfen|Wir fahren zum Flughafen.|A1
l'aereo|das Flugzeug, -e|Das Flugzeug fliegt hoch.|A1
il modulo|das Formular, -e|Bitte füllen Sie das Formular aus.|A1
la foto|das Foto, -s|Ich zeige dir meine Fotos.|A1
il fotografo|der Fotograf, -en|Der Fotograf macht schöne Bilder.|A1
