verbo|traducao_italiano|esempio|nivel
ankommen|arrivare|Wann kommt der Zug an?|A1
antworten|rispondere|Bitte antworten Sie schnell.|A1
arbeiten|lavorare|Ich arbeite von Montag bis Freitag.|A1
aufmachen|aprire|Kannst du bitte das Fenster aufmachen?|A1
aufstehen|alzarsi|Ich stehe jeden Morgen um 7 Uhr auf.|A1
ausfüllen|compilare|Bitte füllen Sie das Formular aus.|A1
aussehen|sembrare, avere l'aspetto di|Sie sieht müde aus.|A1
aussprechen|pronunciare|Wie spricht man dieses Wort aus?|A1
aussteigen|scendere (da un veicolo)|Wir müssen hier aussteigen.|A1
bezahlen|pagare|Ich möchte jetzt bezahlen.|A1
brauchen|avere bisogno di|Ich brauche Hilfe.|A1
bringen|portare|Kannst du mir einen Kaffee bringen?|A1
buchstabieren|sillabare|Können Sie das bitte buchstabieren?|A1
duschen|fare la doccia|Ich dusche jeden Morgen.|A1
einkaufen|fare la spesa|Ich gehe heute einkaufen.|A1
einladen|invitare|Ich lade dich zum Abendessen ein.|A1
einschlafen|addormentarsi|Ich bin spät eingeschlafen.|A1
einsteigen|salire (su un veicolo)|Bitte einsteigen!|A1
essen|mangiare|Was möchten Sie essen?|A1
fahren|guidare, andare (con veicolo)|Ich fahre mit dem Auto zur Arbeit.|A1
fernsehen|guardare la TV|Am Abend sehe ich gern fern.|A1
finden|trovare|Ich finde den Schlüssel nicht.|A1
fliegen|volare|Wir fliegen nach Spanien.|A1
fotografieren|fotografare|Er fotografiert gern Landschaften.|A1
fragen|chiedere|Ich möchte dich etwas fragen.|A1
frühstücken|fare colazione|Ich frühstücke um 8 Uhr.|A1
geben|dare|Kannst du mir bitte das Buch geben?|A1
gehen|andare|Wir gehen ins Kino.|A1
haben|avere|Ich habe ein neues Auto.|A1
halten|tenere, fermare, mantenere|Halten Sie hier bitte an.|A1
heißen|chiamarsi|Wie heißen Sie?|A1
heizen|riscaldare|Im Winter müssen wir die Wohnung heizen.|A1
holen|prendere, andare a prendere|Ich muss die Kinder aus der Schule holen.|A1
hören|sentire, ascoltare|Hörst du die Musik?|A1
kaufen|comprare|Was möchtest du kaufen?|A1
kochen|cucinare|Ich koche heute Abend Suppe.|A1
kommen|venire|Woher kommen Sie?|A1
können|potere, sapere (fare qualcosa)|Kannst du mir helfen?|A1
kosten|costare|Wie viel kostet das?|A1
krank|malato (usato con sein)|Ich bin krank.|A1
küssen|baciare|Er küsst seine Freundin.|A1
lachen|ridere|Sie lachen über den Witz.|A1
laufen|correre, camminare|Die Kinder laufen im Garten.|A1
leben|vivere|Ich lebe in Deutschland.|A1
legen|mettere (sdraiato)|Lege das Buch auf den Tisch.|A1
lesen|leggere|Ich lese gern Bücher.|A1
lieben|amare|Ich liebe dich.|A1
liegen|essere (sdraiato)|Das Buch liegt auf dem Tisch.|A1
lösen|risolvere|Kannst du die Aufgabe lösen?|A1
machen|fare|Was machst du heute Abend?|A1
markieren|segnare|Bitte markieren Sie die richtige Antwort.|A1
müssen|dovere|Ich muss jetzt gehen.|A1
nehmen|prendere|Nehmen Sie Platz.|A1
notieren|annotare|Bitte notieren Sie die Adresse.|A1
organisieren|organizzare|Wir müssen eine Party organisieren.|A1
packen|fare le valigie, imballare|Ich muss meine Koffer packen.|A1
parken|parcheggiare|Hier dürfen Sie nicht parken.|A1
passen|andare bene, stare (vestiti)|Die Hose passt mir nicht mehr.|A1
planen|pianificare|Wir planen unseren Urlaub.|A1
probieren|provare, assaggiare|Möchtest du den Kuchen probieren?|A1
putzen|pulire, spazzolare|Ich putze meine Zähne jeden Morgen.|A1
radieren|cancellare (con la gomma)|Ich habe einen Fehler gemacht und muss radieren.|A1
rauchen|fumare|Rauchen ist hier verboten.|A1
rasieren|radere|Er rasiert sich jeden Morgen.|A1
regnen|piovere|Es regnet heute den ganzen Tag.|A1
reparieren|riparare|Kannst du mein Fahrrad reparieren?|A1
reservieren|prenotare|Ich möchte einen Tisch reservieren.|A1
rühren|mescolare|Bitte rühren Sie den Zucker in den Kaffee.|A1
rufen|chiamare, gridare|Ich rufe dich später an.|A1
sagen|dire|Was hast du gesagt?|A1
sammeln|collezionare, raccogliere|Ich sammle Briefmarken.|A1
schauen|guardare|Schau mal! Ein Vogel!|A1
schenken|regalare|Ich schenke dir ein Buch.|A1
schießen|sparare|Er schießt auf das Tor.|A1
schlafen|dormire|Ich schlafe sieben Stunden pro Nacht.|A1
schließen|chiudere|Bitte schließen Sie die Tür.|A1
schmecken|avere sapore, assaggiare|Der Kuchen schmeckt gut.|A1
